type,id,attributes.adjustment_interval_count,attributes.adjustment_is_excluded_from_discounts,attributes.adjustment_renewal_rate,attributes.adjustment_renewal_rate_incl_tax,attributes.billing_cycles.0.id,attributes.billing_cycles.0.end_datetime,attributes.billing_cycles.0.start_datetime,attributes.billing_type,attributes.calculated_end_datetime,attributes.calculated_start_datetime,attributes.cancellation_datetime,attributes.cancellation_reason,attributes.commitment_length,attributes.end_date,attributes.freeze_datetime,attributes.freeze_reactivation_datetime,attributes.guest_usage_interval_limit,attributes.is_intro_offer,attributes.last_interval_remaining_guest_usage_count,attributes.last_interval_remaining_usage_count,attributes.membership_name,attributes.next_charge_date,attributes.next_charge_date_display,attributes.interval_start_date_display,attributes.payment_interval,attributes.payment_interval_end_date,attributes.payment_interval_length,attributes.payment_interval_start_date,attributes.purchase_date,attributes.remaining_renewal_count,attributes.renewal_count,attributes.renewal_currency,attributes.renewal_limit,attributes.renewal_rate,attributes.renewal_rate_incl_tax,attributes.scheduled_end_datetime,attributes.scheduled_start_datetime,attributes.should_display_price_include_tax,attributes.start_date,attributes.status,attributes.usage_interval_limit,relationships.current_membership_transaction.data.type,relationships.current_membership_transaction.data.id,relationships.membership.data.type,relationships.membership.data.id,relationships.membership_freeze.data,relationships.events.data.0.type,relationships.events.data.0.id,relationships.membership_product.data.type,relationships.membership_product.data.id,relationships.purchase_location.data.type,relationships.purchase_location.data.id,relationships.user.data.type,relationships.user.data.id
membership_instances,4878,,,,,83061,,,bill_on_purchase,,,,,,,,,0,,,,"Torrance/Lakewood/Orange | 2 Week Unlimited Pass",,,,WK,,2,,2024-07-28T00:26:55.321082Z,0,1,USD,1,20.00,20.00,,,,,pending_customer_activation,,membership_transactions,83061,memberships,2951,,membership_instance_events,11288,child_product_memberships,15556,locations,48750,users,41316
membership_instances,4877,,,,,83058,,,bill_on_purchase,,,,,,,,,0,,,,"Torrance/Lakewood/Orange | 2 Week Unlimited Pass",,,,WK,,2,,2024-07-28T00:17:50.917531Z,0,1,USD,1,20.00,20.00,,,,,pending_customer_activation,,membership_transactions,83058,memberships,2951,,membership_instance_events,11287,child_product_memberships,15556,locations,48750,users,41314
membership_instances,4876,,,,,83052,,,bill_on_purchase,,,,,,,,,0,,,,"Torrance/Lakewood/Orange | 2 Week Unlimited Pass",,,,WK,,2,,2024-07-27T23:48:34.095780Z,0,1,USD,1,20.00,20.00,,,,,pending_customer_activation,,membership_transactions,83052,memberships,2951,,membership_instance_events,11286,child_product_memberships,15556,locations,48717,users,41318
membership_instances,4875,,,,,83046,"2024-08-27 06:59:59+00:00","2024-07-27 21:28:07.205551+00:00",bill_on_purchase,,2024-07-27T07:00:00Z,,,0,,,,0,,,6,"Lakewood | Summer Membership Promo | Club Package (8 Visits Per Month)",2024-08-27T06:59:59Z,2024-08-27,2024-07-27,MO,2024-08-27T06:59:59Z,1,2024-07-27T21:28:06.205551Z,2024-07-27T21:28:06.205551Z,,1,USD,,159.00,159.00,,,,2024-07-27T07:00:00Z,active,8,membership_transactions,83046,memberships,2985,,membership_instance_events,11285,child_product_memberships,15813,locations,48750,users,39990
membership_instances,4874,1,1,0.00,,83019,"2024-08-09 06:59:59+00:00","2024-08-02 07:00:01+00:00",bill_on_start,,2024-08-02T07:00:00Z,,,0,,,,0,,,2,"Lakewood/Orange | Club Package - 2x a Week - 6 Month Contract (Grand Opening)",2024-08-02T07:00:00Z,2024-08-09,2024-08-02,WK,2024-08-09T06:59:59Z,1,2024-08-02T07:00:00Z,2024-07-27T17:16:58.869901Z,,1,USD,,30.00,30.00,,2024-08-02T07:00:00Z,,2024-08-02T07:00:00Z,pending_start_date,2,membership_transactions,83019,memberships,2985,,membership_instance_events,11283,membership_instance_events,11282,child_product_memberships,15719,locations,48750,users,41253
membership_instances,4873,1,1,0.00,,83018,"2024-08-09 06:59:59+00:00","2024-08-02 07:00:01+00:00",bill_on_start,,2024-08-02T07:00:00Z,,,0,,,,0,,,2,"Lakewood/Orange | Club Package - 2x a Week - 6 Month Contract (Grand Opening)",2024-08-02T07:00:00Z,2024-08-09,2024-08-02,WK,2024-08-09T06:59:59Z,1,2024-08-02T07:00:00Z,2024-07-27T17:15:41.222842Z,,1,USD,,30.00,30.00,,2024-08-02T07:00:00Z,,2024-08-02T07:00:00Z,pending_start_date,2,membership_transactions,83018,memberships,2985,,membership_instance_events,11281,membership_instance_events,11280,child_product_memberships,15719,locations,48750,users,41260
membership_instances,4872,,,,,82829,"2024-08-03 06:59:59+00:00","2024-07-26 22:07:05.804881+00:00",bill_on_purchase,,2024-07-26T07:00:00Z,,,0,,,,0,,,0,"Lakewood/Orange | Starter Package - 1x a Week - 6 Month Contract (Grand Opening)",2024-08-03T06:59:59Z,2024-08-03,2024-07-26,WK,2024-08-03T06:59:59Z,1,2024-07-26T22:07:04.804881Z,2024-07-26T22:07:04.804881Z,,1,USD,,20.00,20.00,,,,2024-07-26T07:00:00Z,active,1,membership_transactions,82829,memberships,2985,,membership_instance_events,11177,child_product_memberships,15717,locations,48784,users,41269
membership_instances,4871,,,,,82680,"2024-07-26 07:39:31.406306+00:00","2024-07-26 07:28:04.208028+00:00",bill_on_purchase,2024-07-27T06:59:59Z,2024-07-26T07:00:00Z,2024-07-26T07:39:31.406306Z,other,0,2024-07-27T06:59:59Z,,,0,,,,"Torrance | VIP Package - 6 Month Contract (Early Signup Special)",,2024-07-26,2024-07-26,WK,2024-07-26T07:39:31.406306Z,1,2024-07-26T07:28:03.208028Z,2024-07-26T07:28:03.208028Z,0,1,USD,1,50.00,50.00,,,,2024-07-26T07:00:00Z,terminated,,,memberships,2918,,membership_instance_events,11093,membership_instance_events,11092,child_product_memberships,15785,locations,48717,users,34584
membership_instances,4870,1,1,0.00,,82454,"2024-08-06 06:59:59+00:00","2024-07-30 07:00:01+00:00",bill_on_start,,2024-07-30T07:00:00Z,,,0,,,,0,,,3,"Torrance | Gold Package - 6 Month Contract (Early Signup Special)",2024-07-30T07:00:00Z,2024-08-06,2024-07-30,WK,2024-08-06T06:59:59Z,1,2024-07-30T07:00:00Z,2024-07-25T22:12:34.160296Z,,1,USD,,40.00,40.00,,2024-07-30T07:00:00Z,,2024-07-30T07:00:00Z,pending_start_date,3,membership_transactions,82454,memberships,2919,,membership_instance_events,10976,membership_instance_events,10975,child_product_memberships,15783,locations,48717,users,40644
membership_instances,4869,,,,,82451,"2024-08-08 06:59:59+00:00","2024-07-26 00:15:01+00:00",bill_on_purchase,2024-08-08T06:59:59Z,2024-07-25T07:00:00Z,,,,2024-08-08T06:59:59Z,,,0,,,,"Torrance/Lakewood/Orange | 2 Week Unlimited Pass",,2024-08-08,2024-07-25,WK,2024-08-08T06:59:59Z,2,2024-07-26T00:15:00Z,2024-07-25T22:10:38.903305Z,0,1,USD,1,20.00,20.00,,,,2024-07-25T07:00:00Z,active,,membership_transactions,82451,memberships,2951,,membership_instance_events,10973,child_product_memberships,15556,locations,48750,users,41302
