type,id,attributes.contains_refund,attributes.currency,attributes.date_placed,attributes.deferred_item_count,attributes.deferred_item_total,attributes.deferred_item_total_incl_tax,attributes.has_deferred_payments,attributes.has_interac_payments,attributes.is_past_refund_date,attributes.is_refundable,attributes.location,attributes.net_total,attributes.number,attributes.payment_sources.0.label,attributes.payment_sources.0.amount_allocated,attributes.payment_sources.0.currency,attributes.payment_sources.0.date_created,attributes.refund_subtotal,attributes.refund_total,attributes.refund_total_tax,attributes.should_display_price_include_tax,attributes.status,attributes.subtotal,attributes.subtotal_excl_discounts,attributes.subtotal_incl_tax,attributes.summary.0,attributes.summary_nonrefunded_items.0,attributes.taxes.0.name,attributes.taxes.0.tax,attributes.total,attributes.total_amount_refunded,attributes.total_discount,attributes.total_tax,relationships.billing_address.data,relationships.broker.data.type,relationships.broker.data.id,relationships.cart.data.type,relationships.cart.data.id,relationships.fulfillment_partner.data.type,relationships.fulfillment_partner.data.id,relationships.order_lines.data.0.type,relationships.order_lines.data.0.id,relationships.originating_partner.data.type,relationships.originating_partner.data.id,relationships.parent_order.data,relationships.user.data.type,relationships.user.data.id
orders,21414,,USD,2024-06-29T19:09:16.700934Z,0,0,0,,,,1,Orange,4,9QU7-RUHQ-55O5,"Visa ending in 3304",4,USD,2024-06-29T19:09:16.848223Z,0,0,0,,Completed,4,4,4,"Torrance/Lakewood/Orange | July 4, 2024 - 1 Week Trial for $4","Torrance/Lakewood/Orange | July 4, 2024 - 1 Week Trial for $4","Orange Tax - Memberships",0,4,0,0,0,,users,41104,carts,34824,partners,41430,order_lines,21474,partners,1,,users,41104
orders,21413,,USD,2024-06-29T15:47:09.114720Z,0,0,0,,,,1,Orange,4,S3KR-QRD4-55O5,"Mastercard ending in 8768",4,USD,2024-06-29T15:47:09.224474Z,0,0,0,,Completed,4,4,4,"Torrance/Lakewood/Orange | July 4, 2024 - 1 Week Trial for $4","Torrance/Lakewood/Orange | July 4, 2024 - 1 Week Trial for $4","Orange Tax - Memberships",0,4,0,0,0,,users,41101,carts,34816,partners,41430,order_lines,21473,partners,1,,users,41101
orders,21412,,USD,2024-06-29T15:12:32.419521Z,0,0,0,,,,1,Orange,15,DHWN-KWCD-55O5,"Mastercard ending in 0999",15,USD,2024-06-29T15:12:32.534237Z,0,0,0,,Completed,15,15,15,"Late Cancel Fee","Late Cancel Fee","Orange Tax - Penalty Fees",0,15,0,0,0,,users,40779,carts,34815,partners,41430,order_lines,21472,partners,1,,users,40779
orders,21411,,USD,2024-06-29T15:12:30.840296Z,0,0,0,,,,1,Torrance,15,F8A4-MKS2-55O5,"Visa ending in 9430",15,USD,2024-06-29T15:12:30.947543Z,0,0,0,,Completed,15,15,15,"No Show Fee","No Show Fee","Torrance Tax - Penalty Fees",0,15,0,0,0,,users,38723,carts,34814,partners,41362,order_lines,21471,partners,1,,users,38723
orders,21410,,USD,2024-06-29T15:12:30.818011Z,0,0,0,,,,1,Orange,15,QKVK-FGAH-55O5,"American Express ending in 5003",15,USD,2024-06-29T15:12:30.919576Z,0,0,0,,Completed,15,15,15,"Late Cancel Fee","Late Cancel Fee","Orange Tax - Penalty Fees",0,15,0,0,0,,users,40943,carts,34813,partners,41430,order_lines,21470,partners,1,,users,40943
orders,21409,,USD,2024-06-29T15:12:30.575768Z,0,0,0,,,,1,Orange,15,FFZ5-G96C-55O5,"Mastercard ending in 6124",15,USD,2024-06-29T15:12:30.736203Z,0,0,0,,Completed,15,15,15,"Late Cancel Fee","Late Cancel Fee","Orange Tax - Penalty Fees",0,15,0,0,0,,users,40783,carts,34812,partners,41430,order_lines,21469,partners,1,,users,40783
orders,21408,,USD,2024-06-29T15:12:30.489727Z,0,0,0,,,,1,Orange,15,UCM9-KPH7-55O5,"American Express ending in 5003",15,USD,2024-06-29T15:12:30.600400Z,0,0,0,,Completed,15,15,15,"Late Cancel Fee","Late Cancel Fee","Orange Tax - Penalty Fees",0,15,0,0,0,,users,40944,carts,34811,partners,41430,order_lines,21468,partners,1,,users,40944
orders,21407,,USD,2024-06-29T15:12:30.229426Z,0,0,0,,,,1,Lakewood,15,YMJ9-H7WX-55O5,"Visa ending in 3101",15,USD,2024-06-29T15:12:30.337345Z,0,0,0,,Completed,15,15,15,"Late Cancel Fee","Late Cancel Fee","Lakewood Tax - Penalty Fees",0,15,0,0,0,,users,39364,carts,34809,partners,41395,order_lines,21467,partners,1,,users,39364
orders,21406,,USD,2024-06-29T14:44:51.974288Z,0,0,0,,,,1,Orange,4,NDR4-J7FP-55O5,"Visa ending in 0501",4,USD,2024-06-29T14:44:52.119530Z,0,0,0,,Completed,4,4,4,"Torrance/Lakewood/Orange | July 4, 2024 - 1 Week Trial for $4","Torrance/Lakewood/Orange | July 4, 2024 - 1 Week Trial for $4","Orange Tax - Memberships",0,4,0,0,0,,users,40678,carts,34614,partners,41430,order_lines,21466,partners,1,,users,40678
orders,21405,,USD,2024-06-29T14:23:49.556253Z,0,0,0,,,,1,Torrance,25,PGA5-J9F6-55O5,"Visa ending in 4330",25,USD,2024-06-29T14:23:50.050941Z,0,0,0,,Completed,25,25,25,"Torrance | Starter Package - 6 Month Contract","Torrance | Starter Package - 6 Month Contract","Torrance Tax - Memberships",0,25,0,0,0,,users,40643,carts,34806,partners,41362,order_lines,21465,partners,1,,users,40643
orders,21404,,USD,2024-06-29T14:23:49.370665Z,0,0,0,,,,1,Lakewood,35,BQPD-F6R4-55O5,"Visa ending in 3966",35,USD,2024-06-29T14:23:49.551366Z,0,0,0,,Completed,35,35,35,"Lakewood/Orange | Gold Package - 3x a Week - 6 Month Contract (Grand Opening)","Lakewood/Orange | Gold Package - 3x a Week - 6 Month Contract (Grand Opening)","Lakewood Tax - Memberships",0,35,0,0,0,,users,40754,carts,34805,partners,41395,order_lines,21464,partners,1,,users,40754
orders,21403,,USD,2024-06-29T14:23:49.351520Z,0,0,0,,,,1,Lakewood,25,2WJF-X2UY-55O5,"Visa ending in 8920",25,USD,2024-06-29T14:23:49.528835Z,0,0,0,,Completed,25,25,25,"Lakewood/Orange | Starter Package - 1x a Week - 6 Month Contract","Lakewood/Orange | Starter Package - 1x a Week - 6 Month Contract","Lakewood Tax - Memberships",0,25,0,0,0,,users,40348,carts,34804,partners,41395,order_lines,21463,partners,1,,users,40348
